"","newTarget","Marital.status","Application.mode","Application.order","Course","Day.eve.attendance","Previous.qualification","Nationality","Mother.qualification","Father.qualification","Mother.occupation","Father.occupation","Displaced","Educational.special.needs","Debtor","Tuition.fees.up.to.date","Gender","Scholarship.holder","Age.at.enrollment","Fsem.without.eval","Ssem.credit","Ssem.enrolled","Ssem.eval","Ssem.grade","Ssem.without.eval","Unemployment.rate","Inflation.rate","GDP"
"2207","0",1,1,5,9,1,1,1,24,29,4,4,1,0,0,0,1,0,18,0,0,5,0,0,0,11.1,0.6,2.02
"2210","0",1,1,5,15,1,1,1,1,28,10,6,1,0,1,0,1,0,18,0,0,6,0,0,0,11.1,0.6,2.02
"2211","1",1,1,3,12,1,1,1,1,1,5,5,1,0,0,1,1,0,18,0,0,8,8,13.1,0,12.7,3.7,-1.7
"2212","1",1,1,1,5,1,1,1,22,27,10,10,1,0,0,1,1,0,19,0,0,6,6,13.16666667,0,9.4,-0.8,-3.12
"2214","0",1,1,1,10,1,1,1,13,28,10,10,0,0,0,1,1,0,19,0,0,6,10,13,0,16.2,0.3,-0.92
"2215","1",1,15,1,4,1,14,1,13,14,10,8,1,0,1,1,1,0,21,0,0,6,6,15.16666667,0,12.4,0.5,1.79
"2217","1",1,9,2,13,1,1,1,3,3,3,3,0,0,0,1,1,0,18,0,0,7,10,13.6,0,8.9,1.4,3.51
"2218","0",1,7,2,9,1,1,1,13,14,5,10,1,0,0,1,1,0,19,0,0,5,9,11,0,10.8,1.4,1.74
"2219","1",1,4,1,15,1,17,1,13,1,5,9,0,0,0,1,1,0,25,0,0,6,6,13.5,0,11.1,0.6,2.02
"2220","1",1,1,1,5,1,1,1,22,1,10,9,1,0,0,1,1,0,22,0,0,6,12,14.66666667,0,12.7,3.7,-1.7
"2221","1",1,12,1,12,1,1,1,1,1,5,10,0,0,0,1,1,0,24,0,0,8,8,12.74285714,0,12.7,3.7,-1.7
"2222","1",1,1,2,12,1,1,1,1,3,6,11,1,0,0,1,1,0,19,0,0,8,9,13.12857143,0,13.9,-0.3,0.79
"2224","0",1,8,1,2,1,1,1,23,27,5,7,0,0,0,0,1,0,20,0,0,0,0,0,0,9.4,-0.8,-3.12
"2225","1",1,1,2,12,1,1,1,13,14,10,8,1,0,0,1,1,1,19,0,0,8,8,14.93571429,0,10.8,1.4,1.74
"2226","0",1,14,3,11,1,1,1,22,27,10,10,1,0,0,1,1,0,19,0,0,6,15,10,0,7.6,2.6,0.32
"2227","1",1,1,1,14,1,1,1,3,3,4,4,1,0,0,1,1,0,19,0,0,6,6,13,0,12.4,0.5,1.79
"2228","0",1,14,1,4,1,1,1,22,27,10,7,0,0,1,1,1,0,23,0,0,6,8,0,0,15.5,2.8,-4.06
"2229","0",2,12,1,15,1,1,1,22,28,10,4,0,0,0,1,1,0,47,0,0,6,13,14,0,12.7,3.7,-1.7
"2230","1",1,1,1,5,1,1,1,1,1,4,10,0,0,0,1,1,0,19,0,0,6,8,10.75,2,16.2,0.3,-0.92
"2231","1",1,1,4,2,1,1,1,1,28,5,9,1,0,0,1,1,0,19,0,0,0,0,0,0,11.1,0.6,2.02
"2232","0",1,1,1,2,1,1,1,3,3,3,3,1,0,0,1,1,0,18,0,0,0,0,0,0,16.2,0.3,-0.92
"2233","0",1,14,1,9,1,1,1,1,3,2,2,0,0,0,1,1,0,28,0,0,5,9,0,0,15.5,2.8,-4.06
"2234","0",1,14,1,11,1,6,1,19,24,1,1,1,0,0,1,1,0,20,0,0,6,11,11.66666667,0,7.6,2.6,0.32
"2236","1",1,1,1,2,1,1,1,13,14,5,9,1,0,0,1,1,1,21,0,0,0,0,0,0,12.4,0.5,1.79
"2238","0",1,12,1,11,1,12,1,23,27,5,6,0,0,1,0,1,0,24,0,0,6,7,0,0,16.2,0.3,-0.92
"2241","1",1,12,1,11,1,1,1,3,1,4,5,0,0,0,1,1,0,28,0,0,6,8,12.2,0,13.9,-0.3,0.79
"2244","1",1,8,4,12,1,1,1,23,27,6,8,1,0,0,1,1,1,18,0,0,8,8,13.90625,0,11.1,0.6,2.02
"2245","0",1,12,1,11,1,12,1,22,27,12,12,0,0,0,1,1,0,48,0,0,6,15,10,0,7.6,2.6,0.32
"2246","1",1,8,4,10,1,1,1,22,27,10,9,1,0,0,1,1,0,21,0,0,6,7,13.66666667,0,8.9,1.4,3.51
"2249","0",1,15,1,7,1,1,1,22,10,10,9,1,0,1,0,1,0,23,0,0,5,7,0,0,13.9,-0.3,0.79
"2250","1",1,1,1,8,1,1,1,1,1,5,11,1,0,0,1,1,0,18,0,0,5,6,13.25,1,10.8,1.4,1.74
"2251","0",1,15,1,10,1,14,1,1,1,5,4,0,0,0,1,1,0,22,0,2,6,6,14,0,13.9,-0.3,0.79
"2252","0",1,7,1,2,1,1,1,13,27,10,8,1,0,0,1,1,0,25,0,5,11,13,12.25,0,12.4,0.5,1.79
"2253","0",1,4,1,6,1,15,1,5,3,3,3,0,0,1,1,1,0,27,2,5,11,12,14.4,0,11.1,0.6,2.02
"2254","0",1,12,1,7,1,9,1,19,24,1,1,0,0,0,0,1,0,49,0,0,5,6,0,0,10.8,1.4,1.74
"2255","0",1,12,1,17,0,1,1,13,27,6,6,0,0,0,0,1,0,31,0,0,5,0,0,0,12.7,3.7,-1.7
"2256","0",1,12,1,11,1,1,1,22,27,10,7,0,0,0,1,1,0,54,0,0,6,13,14.33333333,0,16.2,0.3,-0.92
"2257","0",1,4,1,1,1,15,1,23,27,6,7,1,0,1,0,1,0,25,0,12,16,21,12.25,1,11.1,0.6,2.02
"2259","0",1,4,1,5,1,3,1,4,4,3,3,0,0,0,1,1,0,28,0,0,6,10,12.66666667,0,12.7,3.7,-1.7
"2260","1",2,12,1,3,0,12,1,22,27,10,7,0,0,0,1,1,0,41,0,0,6,6,13.16666667,0,12.7,3.7,-1.7
"2262","0",1,14,1,9,1,1,1,1,1,5,5,0,0,0,1,1,0,22,0,0,5,8,11.5,0,15.5,2.8,-4.06
"2263","0",1,1,1,11,1,1,1,2,1,3,4,0,0,0,1,1,0,34,0,0,6,6,0,0,15.5,2.8,-4.06
"2264","0",1,12,1,4,1,1,1,23,28,10,10,0,0,1,0,1,0,28,0,5,10,11,15,0,11.1,0.6,2.02
"2267","0",1,4,1,4,1,3,1,24,29,10,5,0,0,0,1,1,0,50,0,1,6,9,13,0,15.5,2.8,-4.06
"2268","0",1,1,4,9,1,1,1,3,1,4,5,1,0,0,1,1,0,19,0,0,5,5,0,0,12.4,0.5,1.79
"2269","0",1,14,1,12,1,1,1,3,4,3,5,0,0,0,1,1,0,18,0,0,7,10,10.66666667,0,16.2,0.3,-0.92
"2270","0",2,12,1,17,0,1,1,22,27,2,2,0,0,0,1,1,0,59,0,0,5,7,0,0,16.2,0.3,-0.92
"2271","0",2,4,1,17,0,3,1,19,24,13,13,1,0,0,0,1,0,33,0,0,5,5,0,0,7.6,2.6,0.32
"2272","1",1,8,2,5,1,1,1,22,28,10,11,1,0,0,1,1,1,23,0,0,6,7,12.8,0,9.4,-0.8,-3.12
"2273","0",2,12,1,17,0,12,1,22,1,6,6,0,0,0,1,1,0,44,0,0,5,8,11.14285714,0,13.9,-0.3,0.79
"2274","0",2,1,4,3,0,1,1,19,24,1,1,1,0,0,1,1,0,37,0,0,6,0,0,0,9.4,-0.8,-3.12
"2275","0",2,12,1,2,1,12,1,22,27,10,10,0,0,0,1,1,0,36,0,0,0,0,0,0,10.8,1.4,1.74
"2276","0",1,1,2,17,0,1,1,1,3,5,3,0,0,0,0,1,0,22,0,0,5,8,10.5,2,7.6,2.6,0.32
"2277","1",2,12,1,3,0,12,1,22,27,7,7,0,0,0,1,1,0,49,0,0,6,8,14.42857143,0,12.4,0.5,1.79
"2278","1",1,16,1,15,1,1,1,1,32,6,4,1,0,0,1,1,0,23,0,0,6,6,12.75,0,11.1,0.6,2.02
"2280","0",2,14,1,3,0,1,1,22,27,6,6,0,0,0,1,1,0,47,0,0,6,6,0,0,16.2,0.3,-0.92
"2281","1",1,14,1,4,1,1,1,1,2,5,3,0,0,0,1,1,0,28,1,6,12,15,12.30769231,0,15.5,2.8,-4.06
"2283","0",1,1,1,11,1,1,1,23,1,10,10,0,0,1,0,1,0,21,0,0,6,8,10,0,8.9,1.4,3.51
"2284","1",1,14,1,10,1,14,1,2,1,2,3,0,0,0,1,1,0,21,0,6,10,13,11.8,0,13.9,-0.3,0.79
"2286","0",2,13,1,9,1,1,1,22,27,10,10,0,0,0,0,1,0,49,0,0,5,9,0,0,10.8,1.4,1.74
"2287","1",1,12,1,17,0,1,1,13,27,7,9,0,0,0,1,1,0,40,0,0,5,5,13.4,0,15.5,2.8,-4.06
"2288","1",1,8,1,11,1,1,1,1,1,4,4,0,0,0,1,1,1,22,0,0,6,8,14.42857143,0,11.1,0.6,2.02
"2290","0",1,12,1,17,0,1,1,3,28,3,8,0,0,0,1,1,0,31,0,0,5,7,0,0,13.9,-0.3,0.79
"2291","0",1,13,1,7,1,1,1,5,5,3,3,0,0,0,1,1,0,30,0,1,6,7,13.5,0,15.5,2.8,-4.06
"2292","1",1,1,1,10,1,1,1,22,27,6,11,0,0,0,1,1,0,19,0,0,6,11,11,0,7.6,2.6,0.32
"2293","0",1,9,1,9,1,1,1,19,24,12,12,0,0,0,1,1,0,22,0,0,5,10,11.33333333,0,9.4,-0.8,-3.12
"2294","1",1,1,1,15,1,1,1,13,27,10,10,0,0,0,1,1,0,19,0,0,6,8,13.33333333,0,15.5,2.8,-4.06
"2295","0",1,8,1,2,1,1,1,1,27,5,10,0,0,0,0,1,0,21,0,0,0,0,0,0,7.6,2.6,0.32
"2296","1",1,8,3,14,1,1,1,1,28,5,8,0,0,0,1,1,0,19,0,0,6,7,13.42857143,0,11.1,0.6,2.02
"2297","0",1,14,2,9,1,1,1,1,14,4,4,1,0,0,1,1,0,22,0,0,5,7,10,1,16.2,0.3,-0.92
"2298","1",1,1,1,10,1,1,1,4,5,3,3,0,0,0,1,1,0,22,0,0,6,8,11,0,10.8,1.4,1.74
"2299","1",1,1,1,10,1,1,1,1,1,5,5,0,0,0,1,1,0,19,0,0,6,9,11,0,9.4,-0.8,-3.12
"2300","0",1,12,1,11,1,14,1,1,1,6,11,0,0,0,0,1,0,26,0,0,6,0,0,0,16.2,0.3,-0.92
"2305","0",1,8,1,9,1,1,1,1,14,5,9,0,0,0,1,1,0,20,0,0,5,5,0,0,11.1,0.6,2.02
"2307","0",1,4,1,8,1,3,1,2,28,3,4,1,0,0,0,1,0,18,0,0,5,5,0,0,12.7,3.7,-1.7
"2308","0",4,14,2,17,0,13,1,3,1,3,10,0,0,0,1,1,0,39,0,0,4,4,0,0,10.8,1.4,1.74
"2309","0",1,1,1,12,1,1,1,13,1,12,12,0,0,0,1,1,0,18,3,0,8,8,0,3,10.8,1.4,1.74
"2310","1",1,8,3,7,1,1,1,1,28,4,4,0,0,0,1,1,1,18,0,0,5,5,14.2,0,8.9,1.4,3.51
"2311","1",1,1,1,10,1,1,1,13,28,10,10,0,0,0,1,1,1,19,0,0,6,6,14,0,13.9,-0.3,0.79
"2312","1",1,1,1,12,1,1,1,1,14,10,10,0,0,0,1,1,0,18,0,0,8,8,12.4875,0,12.4,0.5,1.79
"2313","0",1,1,1,9,1,1,1,19,14,1,5,1,0,0,1,1,1,18,0,0,5,5,0,0,7.6,2.6,0.32
"2314","1",1,15,1,8,1,14,1,22,27,7,7,1,0,0,1,1,0,22,0,0,5,5,14.6,0,10.8,1.4,1.74
"2315","1",1,1,1,10,1,1,1,1,1,4,5,0,0,0,1,1,0,19,0,0,6,6,12.16666667,0,12.4,0.5,1.79
"2316","0",1,1,1,8,1,1,1,13,27,10,9,1,0,0,1,1,0,18,0,0,5,5,15.6,0,12.7,3.7,-1.7
"2317","0",1,12,1,7,1,12,1,1,1,5,4,0,0,1,0,1,0,31,0,0,5,9,16,4,16.2,0.3,-0.92
"2318","0",1,12,1,17,0,1,1,3,1,4,4,0,0,0,1,1,0,28,0,0,5,5,0,0,12.7,3.7,-1.7
"2319","0",1,1,1,5,1,1,1,1,1,5,9,0,0,0,1,1,0,19,0,0,6,0,0,0,15.5,2.8,-4.06
"2320","1",1,8,1,11,1,1,1,1,1,5,9,0,0,0,1,1,0,20,0,0,6,8,14.71428571,0,16.2,0.3,-0.92
"2321","0",4,12,1,10,1,1,1,13,3,10,3,0,0,0,1,1,0,50,0,0,6,7,0,0,8.9,1.4,3.51
"2323","0",2,12,1,17,0,1,1,22,27,10,10,1,0,0,1,1,0,31,0,0,5,5,13,0,9.4,-0.8,-3.12
"2325","1",1,9,1,10,1,1,1,1,3,10,3,1,0,0,1,1,0,21,0,0,6,10,10.5,0,12.7,3.7,-1.7
"2326","0",2,12,1,7,1,1,1,22,27,10,10,0,0,0,1,1,0,34,0,0,5,9,0,0,8.9,1.4,3.51
"2328","0",2,12,1,17,0,1,1,22,27,2,5,1,0,0,0,1,0,40,0,0,5,5,10.66666667,0,9.4,-0.8,-3.12
"2329","1",1,1,1,2,1,1,1,23,14,10,3,1,0,0,1,1,1,18,0,0,0,0,0,0,12.7,3.7,-1.7
"2330","0",2,12,1,5,1,9,1,22,28,6,11,0,0,1,0,1,1,46,0,0,6,6,0,0,15.5,2.8,-4.06
"2331","0",1,14,5,3,0,1,1,19,24,1,1,0,0,0,1,1,0,37,0,0,5,10,0,0,7.6,2.6,0.32
"2332","0",1,12,1,4,1,1,1,13,27,10,8,1,0,0,1,1,0,31,0,0,6,10,0,0,16.2,0.3,-0.92
"2333","1",1,12,1,4,1,1,1,1,14,5,11,0,0,0,1,1,0,34,0,0,6,15,12.4,0,12.4,0.5,1.79
"2334","0",1,1,6,2,1,1,1,8,8,5,5,1,0,0,1,1,1,18,0,0,0,0,0,0,9.4,-0.8,-3.12
"2335","1",1,1,1,14,1,1,1,23,27,10,10,0,0,0,1,1,1,18,0,0,6,6,14.33333333,0,12.4,0.5,1.79
"2336","1",1,8,4,5,1,1,1,1,1,4,4,1,0,0,1,1,1,19,0,0,6,7,11.16666667,0,11.1,0.6,2.02
"2337","0",1,14,1,17,0,1,1,22,14,10,5,0,0,0,1,1,0,40,0,3,8,18,11.2,5,15.5,2.8,-4.06
"2338","0",1,12,1,8,1,1,1,1,28,10,10,0,0,0,1,1,0,25,0,0,6,6,0,0,12.4,0.5,1.79
"2339","0",1,8,5,7,1,1,1,23,28,6,10,1,0,1,1,1,0,20,0,0,6,8,13.33333333,0,11.1,0.6,2.02
"2341","0",1,12,1,4,1,1,1,22,27,10,11,1,0,0,0,1,0,43,0,0,6,0,0,0,15.5,2.8,-4.06
"2343","1",1,14,1,4,1,1,1,2,4,5,2,0,0,0,1,1,0,35,0,12,13,13,11.5,1,15.5,2.8,-4.06
"2344","1",1,8,2,17,0,1,1,22,14,10,5,0,0,0,1,1,0,23,0,0,5,5,13,0,7.6,2.6,0.32
"2345","1",1,8,1,12,1,1,1,3,3,3,3,0,0,0,1,1,0,19,0,0,9,12,11.50625,0,12.4,0.5,1.79
"2346","1",1,17,1,6,1,16,1,1,14,4,9,1,0,0,1,1,1,21,0,4,9,15,13.75,0,8.9,1.4,3.51
"2348","1",1,9,1,7,1,1,1,1,1,5,4,1,0,0,1,1,0,20,0,0,5,7,15.28571429,0,12.4,0.5,1.79
"2349","0",1,12,1,14,1,1,1,13,14,4,4,0,1,0,1,1,1,30,0,0,6,0,0,0,12.4,0.5,1.79
"2350","1",4,12,1,11,1,1,1,22,14,10,10,1,0,0,1,1,0,44,0,0,6,6,11.5,0,12.4,0.5,1.79
"2351","1",1,9,1,12,1,1,1,13,3,5,10,0,0,0,1,1,0,19,0,0,8,8,13.61428571,0,12.7,3.7,-1.7
"2352","1",1,15,1,8,1,14,1,2,1,4,7,1,0,0,1,1,0,22,1,8,12,15,14.3,0,16.2,0.3,-0.92
"2353","1",1,1,1,8,1,1,1,3,3,2,3,0,0,0,1,1,0,18,0,0,5,5,14.2,0,7.6,2.6,0.32
"2354","1",1,8,1,14,1,1,1,22,27,10,10,1,0,0,1,1,1,21,0,0,6,6,11.8,0,12.7,3.7,-1.7
"2355","0",1,1,2,6,1,1,1,22,14,12,12,0,0,0,1,1,0,18,0,0,6,0,0,0,7.6,2.6,0.32
"2356","1",1,8,4,14,1,1,1,3,1,3,4,1,0,0,1,1,0,18,0,0,6,7,14.28571429,0,11.1,0.6,2.02
"2357","1",1,1,1,2,1,1,1,1,1,5,4,0,0,0,1,1,0,19,0,0,0,0,0,0,7.6,2.6,0.32
"2358","0",1,15,1,4,1,14,1,1,28,7,7,1,0,0,1,1,0,21,0,0,6,11,11.875,0,16.2,0.3,-0.92
"2359","1",1,12,1,4,1,1,1,3,3,3,3,0,0,0,1,1,0,31,0,0,6,10,14.6,0,16.2,0.3,-0.92
"2360","0",1,8,5,11,1,1,1,1,1,3,4,1,0,0,1,1,0,21,0,0,6,10,10.5,0,9.4,-0.8,-3.12
"2361","1",1,12,1,7,1,1,1,13,14,10,8,0,0,1,1,1,0,24,0,0,5,11,11,0,8.9,1.4,3.51
"2362","0",1,13,1,15,1,1,1,13,6,5,4,0,0,0,1,1,0,27,0,0,5,10,0,0,9.4,-0.8,-3.12
"2363","1",1,1,5,9,1,1,1,13,14,10,10,1,0,0,1,1,0,20,0,0,5,6,12.8,0,12.4,0.5,1.79
"2366","1",1,9,1,15,1,1,1,1,1,5,8,1,0,0,1,1,0,19,0,0,6,6,14.5,0,8.9,1.4,3.51
"2368","1",1,8,1,8,1,1,1,10,10,3,9,1,0,0,1,1,0,18,0,0,6,8,13.66666667,0,12.4,0.5,1.79
"2370","0",1,12,1,8,1,1,1,1,14,5,6,1,0,0,1,1,0,29,2,0,5,10,13.33333333,2,10.8,1.4,1.74
"2372","1",1,1,5,2,1,1,1,13,3,10,3,1,0,0,1,1,1,19,0,0,0,0,0,0,9.4,-0.8,-3.12
"2376","0",1,1,1,14,1,1,1,22,27,6,9,0,0,0,0,1,0,21,0,0,6,6,11,0,12.7,3.7,-1.7
"2377","1",1,12,1,9,1,1,1,22,1,8,4,0,0,0,1,1,1,25,0,0,5,7,14.75,0,12.7,3.7,-1.7
"2378","0",1,12,1,9,1,1,1,22,27,10,10,0,0,0,0,1,0,32,1,0,5,5,0,0,9.4,-0.8,-3.12
"2379","0",1,14,1,17,0,1,1,3,4,3,3,0,0,0,0,1,0,26,0,3,8,8,11.33333333,0,7.6,2.6,0.32
"2380","1",1,1,1,8,1,1,1,2,27,10,8,1,0,0,1,1,1,18,0,0,6,8,12.5,0,12.4,0.5,1.79
"2381","1",1,8,1,11,1,1,1,1,14,5,8,0,0,0,1,1,1,19,0,0,6,10,12.85714286,0,16.2,0.3,-0.92
"2382","1",1,1,3,5,1,1,1,13,28,6,8,1,0,0,1,1,1,19,0,0,6,6,12.33333333,0,12.4,0.5,1.79
"2383","0",1,4,1,7,1,15,1,1,1,5,5,0,0,0,1,1,0,27,0,2,5,7,15.14285714,0,11.1,0.6,2.02
"2384","0",1,17,1,4,1,1,1,13,1,10,10,0,0,1,1,1,0,21,0,5,12,15,11.44444444,0,8.9,1.4,3.51
"2386","1",1,15,1,5,1,14,1,13,28,5,1,1,0,0,1,1,0,21,0,0,6,8,11.33333333,0,12.4,0.5,1.79
"2387","0",1,1,5,15,1,1,1,22,3,6,3,1,0,0,1,1,0,22,0,0,6,12,10.66666667,0,9.4,-0.8,-3.12
"2388","1",1,1,1,2,1,1,1,1,28,6,8,1,0,1,0,1,0,19,0,0,0,0,0,0,12.7,3.7,-1.7
"2389","0",1,8,4,9,1,1,1,23,14,6,6,1,0,0,1,1,1,18,0,0,5,10,12.5,0,11.1,0.6,2.02
"2390","0",1,12,2,10,1,1,1,13,1,6,6,0,0,0,1,1,0,28,0,0,5,5,0,0,13.9,-0.3,0.79
"2391","0",2,12,1,4,1,1,1,1,27,10,2,0,0,1,0,1,0,25,0,2,7,15,12,1,15.5,2.8,-4.06
"2392","0",1,14,1,4,1,1,1,22,1,6,5,0,0,0,1,1,0,25,2,6,13,23,11.6,0,15.5,2.8,-4.06
"2394","0",1,1,1,11,1,1,1,4,14,5,6,0,0,0,1,1,0,26,0,0,6,12,0,0,10.8,1.4,1.74
"2395","1",1,8,3,9,1,1,1,22,27,7,6,1,0,0,1,1,1,18,0,0,5,7,11.5,0,13.9,-0.3,0.79
"2397","0",1,12,1,4,1,1,1,1,3,5,6,0,0,0,1,1,0,25,0,0,6,10,0,0,16.2,0.3,-0.92
"2399","1",1,8,2,15,1,1,1,3,14,3,4,1,0,0,1,1,0,19,0,0,6,7,14.57142857,0,13.9,-0.3,0.79
"2400","1",1,8,1,12,1,1,1,1,1,6,6,0,0,0,1,1,0,19,0,0,8,10,11.7125,0,16.2,0.3,-0.92
"2401","0",4,12,1,3,0,12,1,1,27,10,2,0,0,0,1,1,0,45,0,2,8,13,11,0,10.8,1.4,1.74
"2402","1",2,12,1,17,0,1,1,22,27,10,10,0,0,0,1,1,0,52,0,0,5,6,12.8,1,7.6,2.6,0.32
"2403","0",1,1,1,9,1,1,1,13,14,10,4,1,0,0,0,1,0,20,1,0,5,7,11,0,9.4,-0.8,-3.12
"2404","1",1,1,1,12,1,1,1,23,27,6,11,1,0,0,1,1,0,19,0,0,8,8,15.88571429,0,10.8,1.4,1.74
"2405","0",1,1,1,12,1,1,1,1,28,10,10,0,0,1,0,1,0,21,0,0,7,12,11.58,0,12.4,0.5,1.79
"2406","1",2,12,1,3,0,1,1,22,27,10,10,0,0,0,0,1,0,35,0,0,6,6,14.16666667,0,9.4,-0.8,-3.12
"2407","1",2,12,1,2,1,9,1,22,27,8,8,1,0,0,1,1,0,36,0,0,0,0,0,0,7.6,2.6,0.32
"2408","0",4,12,1,12,1,12,1,22,28,6,6,0,0,1,0,1,0,47,7,0,8,8,0,8,15.5,2.8,-4.06
"2409","0",1,9,1,17,0,1,1,28,30,3,3,0,0,0,1,1,0,22,0,0,5,0,0,0,8.9,1.4,3.51
"2410","0",2,12,1,17,0,1,1,22,27,10,10,1,0,0,1,1,0,41,0,0,5,8,11,1,7.6,2.6,0.32
"2411","0",1,4,1,7,1,3,1,19,24,12,12,0,0,0,1,1,0,26,0,0,5,6,0,0,10.8,1.4,1.74
"2412","0",2,12,1,3,0,1,1,19,24,12,12,0,0,0,0,0,0,51,0,0,6,12,0,1,10.8,1.4,1.74
"2414","1",2,12,2,3,0,1,1,19,24,1,1,1,0,0,1,0,0,41,0,1,6,10,10.66666667,1,7.6,2.6,0.32
"2415","1",1,14,2,9,1,1,1,19,27,10,10,1,0,0,1,1,0,23,1,4,10,16,11.18181818,3,7.6,2.6,0.32
"2416","0",1,14,2,10,1,1,1,19,21,1,6,1,0,0,1,1,0,22,0,0,5,10,0,0,9.4,-0.8,-3.12
"2417","0",1,8,2,5,1,1,1,22,27,10,10,1,1,0,1,1,1,25,0,0,6,6,11.25,0,12.7,3.7,-1.7
"2418","1",1,14,1,17,0,1,1,22,27,10,10,1,0,0,1,1,0,25,0,13,14,14,11.35714286,0,9.4,-0.8,-3.12
"2419","1",1,17,1,2,1,16,1,1,14,10,10,1,0,0,0,1,1,22,0,4,11,16,12.66666667,0,8.9,1.4,3.51
"2421","0",1,12,1,6,1,2,1,23,28,10,11,0,0,0,1,1,0,47,0,0,6,0,0,0,16.2,0.3,-0.92
"2422","0",2,12,1,17,0,12,1,22,27,6,6,1,0,0,1,1,0,41,0,0,5,5,0,0,7.6,2.6,0.32
"2423","1",1,12,1,4,1,1,1,22,27,10,10,1,0,0,1,1,0,43,0,0,6,11,12.2,0,13.9,-0.3,0.79
"2424","0",1,12,1,4,1,1,1,1,27,10,9,0,0,0,1,1,0,29,0,0,4,8,0,0,16.2,0.3,-0.92
"2425","0",1,12,2,7,1,1,1,22,27,6,6,0,0,0,1,1,0,30,0,0,2,2,0,0,7.6,2.6,0.32
"2426","0",1,12,2,9,1,13,1,13,28,10,10,0,0,0,0,1,0,26,0,0,5,0,0,0,12.7,3.7,-1.7
"2427","0",1,12,2,17,0,1,1,13,28,10,10,0,0,0,0,1,0,27,0,0,5,5,0,0,15.5,2.8,-4.06
"2428","1",2,12,2,14,1,1,1,22,27,10,10,0,0,0,1,1,1,36,0,0,5,7,11.6,0,9.4,-0.8,-3.12
"2429","0",1,12,1,4,1,12,1,1,14,5,11,0,0,0,1,1,0,29,0,2,7,10,10.85714286,0,15.5,2.8,-4.06
"2430","0",1,13,1,7,1,1,1,19,24,1,1,1,0,0,1,1,0,35,0,2,8,8,13,0,9.4,-0.8,-3.12
"2431","1",1,1,1,15,1,1,1,23,28,7,4,0,0,0,1,1,1,18,0,0,6,10,12.6,0,10.8,1.4,1.74
"2432","1",1,1,1,17,0,1,1,23,27,10,10,0,0,0,1,1,1,24,0,0,5,5,16,0,8.9,1.4,3.51
"2433","0",1,1,3,15,1,1,1,23,28,10,8,1,0,0,1,1,1,18,0,0,6,7,12.66666667,0,10.8,1.4,1.74
"2436","1",1,13,1,7,1,1,1,23,27,6,9,1,0,0,1,1,0,21,0,0,5,10,12.6,0,9.4,-0.8,-3.12
"2437","1",1,12,1,4,1,1,1,1,3,3,7,0,0,0,1,1,0,32,1,7,12,18,12.08333333,0,15.5,2.8,-4.06
"2438","0",1,1,4,7,1,1,1,22,27,10,6,1,0,0,1,1,1,22,0,0,6,14,12.5,0,11.1,0.6,2.02
"2439","0",1,4,1,4,1,3,1,1,28,10,8,1,0,0,0,1,0,32,4,10,12,24,12.7,1,15.5,2.8,-4.06
"2440","0",1,14,1,14,1,6,1,19,24,1,1,0,0,0,1,1,0,35,0,0,5,5,0,0,9.4,-0.8,-3.12
"2441","0",1,9,3,9,1,1,1,1,28,5,8,1,0,0,0,1,0,23,0,0,5,0,0,0,8.9,1.4,3.51
"2443","0",2,14,1,14,1,1,1,19,24,1,1,0,0,0,1,1,0,35,0,0,5,5,10,0,9.4,-0.8,-3.12
"2444","1",2,12,1,4,1,3,1,3,14,5,7,0,0,0,1,1,0,32,0,6,12,14,17.69230769,0,16.2,0.3,-0.92
"2445","0",1,1,1,16,1,1,1,19,24,1,1,0,0,0,1,1,0,20,0,0,6,12,0,0,7.6,2.6,0.32
"2447","0",1,4,1,17,0,15,1,22,27,7,7,1,0,0,1,1,0,44,0,0,5,6,16.2,0,8.9,1.4,3.51
"2448","1",2,12,1,11,1,12,1,22,14,10,11,0,0,0,1,1,0,53,7,4,9,10,10,4,16.2,0.3,-0.92
"2449","0",1,12,1,7,1,12,1,22,27,10,5,0,0,1,0,1,0,28,0,0,5,7,0,0,12.4,0.5,1.79
"2450","0",1,4,1,17,0,3,1,22,27,10,10,0,0,0,1,1,0,31,0,5,5,5,12.8,0,12.7,3.7,-1.7
"2452","0",1,12,1,4,1,1,1,1,3,10,11,0,0,1,0,1,0,44,2,0,6,16,0,1,15.5,2.8,-4.06
"2453","1",1,1,1,6,1,1,1,1,1,10,10,1,0,0,1,1,0,19,1,0,5,8,12,0,12.7,3.7,-1.7
"2455","0",1,9,1,7,1,1,1,3,14,4,6,0,0,0,1,1,1,18,0,0,5,5,0,0,9.4,-0.8,-3.12
"2456","1",1,15,1,4,1,14,1,13,14,6,6,1,0,0,1,1,0,20,0,0,6,10,15.3,0,16.2,0.3,-0.92
"2457","1",1,12,1,5,1,1,1,22,27,8,8,0,0,0,1,1,0,55,0,0,6,6,13.5,0,11.1,0.6,2.02
"2459","0",1,8,2,7,1,1,1,10,14,6,6,0,0,0,1,1,0,19,0,0,5,0,0,0,12.4,0.5,1.79
"2460","1",1,1,1,9,1,1,1,13,27,10,10,0,0,0,1,1,0,18,0,0,5,5,13.2,0,12.4,0.5,1.79
"2461","0",2,12,1,15,1,1,1,22,27,8,5,0,0,0,1,1,0,43,0,0,6,7,0,0,15.5,2.8,-4.06
